,Filename,Language,Entropy,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,English_Stopwords_and,English_Stopwords_are,English_Stopwords_be,English_Stopwords_but,English_Stopwords_for,English_Stopwords_from,English_Stopwords_have,English_Stopwords_in,English_Stopwords_is,English_Stopwords_it,English_Stopwords_no,English_Stopwords_not,English_Stopwords_of,English_Stopwords_that,English_Stopwords_the,English_Stopwords_this,English_Stopwords_to,English_Stopwords_with,French_Stopwords_au,French_Stopwords_avec,French_Stopwords_ce,French_Stopwords_de,French_Stopwords_des,French_Stopwords_elle,French_Stopwords_et,French_Stopwords_est,French_Stopwords_il,French_Stopwords_je,French_Stopwords_la,French_Stopwords_le,French_Stopwords_les,French_Stopwords_mais,French_Stopwords_ou,French_Stopwords_par,French_Stopwords_pas,French_Stopwords_plus,French_Stopwords_pour,French_Stopwords_que,French_Stopwords_qui,French_Stopwords_si,French_Stopwords_sur,French_Stopwords_un,French_Stopwords_une,italian_Stopwords_e,italian_Stopwords_di,italian_Stopwords_il,italian_Stopwords_la,italian_Stopwords_lo,italian_Stopwords_i,italian_Stopwords_gli,italian_Stopwords_le,italian_Stopwords_che,italian_Stopwords_in,italian_Stopwords_vi,italian_Stopwords_si,italian_Stopwords_per,italian_Stopwords_ma,italian_Stopwords_con,italian_Stopwords_un,italian_Stopwords_una,italian_Stopwords_su,italian_Stopwords_non,italian_Stopwords_questo,italian_Stopwords_quello,spanish_Stopwords_y,spanish_Stopwords_de,spanish_Stopwords_la,spanish_Stopwords_las,spanish_Stopwords_el,spanish_Stopwords_los,spanish_Stopwords_que,spanish_Stopwords_a,spanish_Stopwords_en,spanish_Stopwords_no,spanish_Stopwords_un,spanish_Stopwords_unos,spanish_Stopwords_es,spanish_Stopwords_con,spanish_Stopwords_por,spanish_Stopwords_para,spanish_Stopwords_del,spanish_Stopwords_se,spanish_Stopwords_lo,spanish_Stopwords_pero,spanish_Stopwords_como,spanish_Stopwords_su,spanish_Stopwords_al,spanish_Stopwords_me,spanish_Stopwords_le,spanish_Stopwords_tener,spanish_Stopwords_sin
10,012.docx,english,4.209918794856251,0.06382978723404255,0.014070006863417982,0.01818805765271105,0.048730267673301304,0.12868908716540836,0.020247083047357586,0.031571722717913524,0.07789979409746053,0.06588881262868909,0.001029512697323267,0.011667810569663692,0.04667124227865477,0.017158544955387784,0.06245710363761153,0.07069320521619767,0.014413177762525738,0.0,0.04667124227865477,0.059025394646533974,0.09231297185998627,0.029855868222374744,0.009608785175017159,0.018531228551818806,0.0006863417982155113,0.011667810569663692,0.0006863417982155113,14,0,3,3,1,3,1,13,0,11,8,1,15,5,51,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,013.docx,english,4.185414904373326,0.07323127844435251,0.016135705419942078,0.01985932974762102,0.046752172114191144,0.12618949110467523,0.0215142738932561,0.02399669011170873,0.08067852709971038,0.06206040546131568,0.0,0.009515928837401738,0.047165908150599914,0.019031857674803476,0.06868018204385602,0.07654116673562267,0.016135705419942078,0.0004137360364087712,0.048820852296235,0.05502689284236657,0.0947455523376086,0.023582954075299957,0.007447248655357882,0.021928009929664875,0.0008274720728175424,0.014480761274306992,0.0,14,1,1,1,4,1,3,8,1,10,4,2,11,3,30,5,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,014.docx,english,4.173037389487841,0.06539627544391512,0.0173235166738848,0.020355132091814637,0.05326981377219576,0.12646167171935904,0.02252057167605024,0.0259852750108272,0.08315288003464703,0.06496318752706799,0.00043308791684711995,0.00822867042009528,0.04027717626678216,0.014724989172802079,0.06582936336076224,0.07882200086617583,0.013858813339107838,0.0008661758336942399,0.05283672585534863,0.05716760502381984,0.09311390212213079,0.02468601126028584,0.004763967085318319,0.02122130792550888,0.0,0.01429190125595496,0.0,9,0,1,2,5,1,0,4,0,17,2,2,10,3,33,8,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,015.docx,english,4.210493580131331,0.06710079275198189,0.013590033975084938,0.022366930917327294,0.03680634201585504,0.12315968289920724,0.018969422423556058,0.03029445073612684,0.06342015855039637,0.072480181200453,0.0011325028312570782,0.01274065685164213,0.04190260475651189,0.027746319365798414,0.06455266138165346,0.08408833522083806,0.01698754246885617,0.0,0.045866364665911666,0.06398640996602492,0.09994337485843714,0.021234428086070217,0.01245753114382786,0.02378255945639864,0.0005662514156285391,0.01698754246885617,0.0,20,1,2,6,6,1,6,8,12,6,1,3,30,13,61,5,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
14,09.docx,english,4.228897374081102,0.08790826963168867,0.01667824878387769,0.02050034746351633,0.045170257123002086,0.12056984016678249,0.020847810979847115,0.022237665045170257,0.06497567755385684,0.056289089645587216,0.002432244614315497,0.011466296038915913,0.04169562195969423,0.026059763724808897,0.06428075052119528,0.07748436414176511,0.012856150104239055,0.0006949270326615705,0.05455177206393329,0.05906879777623349,0.09068797776233495,0.02571230020847811,0.010771369006254344,0.026754690757470466,0.0,0.019457956914523976,0.0,12,0,5,3,3,1,2,4,0,21,3,1,24,5,32,1,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ag_1.docx,english,4.1783536232693645,0.08780771467338631,0.011823996898623764,0.044194611358790464,0.039542547005233575,0.1128125605737546,0.021128125605737545,0.022678813723589843,0.039736383019965106,0.09149059895328553,0.0003876720294630742,0.0052335723977515024,0.044194611358790464,0.033339794533824386,0.0814111261872456,0.0699748013180849,0.024423337856173677,0.0011630160883892228,0.0647412289203334,0.06008916456677651,0.07889125799573561,0.022678813723589843,0.007947276603993022,0.013762357045939136,0.0013568521031207597,0.012987012987012988,0.0019383601473153711,28,0,1,1,7,10,3,27,8,5,0,0,28,5,41,4,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ag_10.docx,english,4.171980902042482,0.0801348062160644,0.016289084441115896,0.039318479685452164,0.054671409848343004,0.13199775322973226,0.020782624976596144,0.02490170380078637,0.05055233102415278,0.07489234225800412,0.0016850777008050927,0.002434001123385134,0.057292641827373154,0.021718779254821196,0.07545403482493915,0.07039880172252387,0.018161392997566,0.0001872308556450103,0.05579479498221307,0.06047556637333833,0.0709604942894589,0.023403856955626287,0.008050926792735443,0.011233851338700617,0.0016850777008050927,0.022467702677401235,0.0003744617112900206,45,12,8,0,7,2,5,11,17,2,1,3,46,2,59,9,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ag_2.docx,english,4.1602489238117535,0.0867178924259056,0.013355287230150018,0.033845590925722646,0.038419319429198684,0.1278814489571899,0.022319795096963045,0.01756311745334797,0.03530918404683498,0.07354555433589462,0.00018294914013904133,0.007135016465422613,0.0433589462129528,0.023783388218075376,0.0845225027442371,0.06842297841200147,0.030918404683497987,0.0005488474204171241,0.07647274057811929,0.05836077570435419,0.0836077570435419,0.030369557263080865,0.008781558726673985,0.012806439809732895,0.0031101353823637027,0.013904134650567142,0.0021953896816684962,28,7,6,2,10,6,3,21,15,2,1,5,29,10,59,2,29,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,ag_3.docx,english,4.133623020321857,0.11193339500462535,0.02183163737280296,0.034782608695652174,0.05291396854764107,0.11766882516188715,0.02127659574468085,0.017761332099907493,0.0301572617946346,0.06419981498612395,0.00018501387604070305,0.0022201665124884367,0.03959296947271045,0.03089731729879741,0.06271970397779833,0.07104532839962997,0.019611470860314523,0.003515263644773358,0.06105457909343201,0.07807585568917669,0.09565217391304348,0.022756706753006475,0.0077705827937095285,0.008695652173913044,0.0012950971322849213,0.017391304347826087,0.0016651248843663274,39,6,8,1,7,4,1,18,8,5,0,0,36,13,64,1,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ag_4.docx,english,4.157975548738972,0.08640028040658955,0.01594812478093235,0.05625657202944269,0.040133193130038554,0.11601822642832106,0.02015422362425517,0.02050473186119874,0.04206098843322818,0.08464773922187172,0.0007010164738871364,0.0026288117770767614,0.03838065194532071,0.03662811076060287,0.07868909919383106,0.06484402383456012,0.025236593059936908,0.0012267788293024886,0.05783385909568875,0.05958640028040659,0.08534875569575885,0.03259726603575184,0.008236943568173852,0.00946372239747634,0.0008762705923589204,0.013144058885383806,0.0007010164738871364,39,1,9,0,7,1,3,38,6,3,0,0,43,5,81,1,19,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ag_5.docx,english,4.193977740092674,0.08986312239634993,0.013886133703630232,0.037690934338424915,0.0380876810156715,0.1102955762745487,0.01666336044435628,0.01666336044435628,0.0452291212061099,0.08232493552866495,0.004959333465582225,0.0029756000793493354,0.05197381471930172,0.02420154731204126,0.06764530847054157,0.07280301527474707,0.01844872049196588,0.0019837333862328904,0.054949414798651064,0.07161277524300734,0.08966474905772664,0.030152747470739934,0.011108906962904185,0.02658202737552073,0.0021821067248561795,0.015076373735369967,0.00039674667724657806,35,4,11,0,3,6,3,22,27,7,3,2,40,24,50,4,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ag_6.docx,english,4.208831373303435,0.09702228357325972,0.02129757444291067,0.04239794912246105,0.033129560244527706,0.12088345493985407,0.020705975152829816,0.029185564977322026,0.030565963320844016,0.07079471504634194,0.0007887990534411359,0.0027607966870439754,0.03529875764149083,0.03234076119108657,0.07197791362650365,0.06448432261881286,0.03431275882468941,0.0015775981068822718,0.0664563202524157,0.06547032143561428,0.08164070203115756,0.021494774206270953,0.009268388877933346,0.024649970420035496,0.004732794320646815,0.011831985801617038,0.0005915992900808519,38,5,9,0,14,11,3,14,13,7,3,1,22,8,35,3,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ag_7.docx,english,4.173403455876835,0.08220720720720721,0.018581081081081082,0.0350975975975976,0.030593093093093094,0.1112987987987988,0.022710210210210212,0.01126126126126126,0.0350975975975976,0.08164414414414414,0.001313813813813814,0.0020645645645645644,0.040728228228228226,0.03265765765765766,0.06719219219219219,0.08464714714714715,0.036974474474474474,0.0009384384384384384,0.07789039039039039,0.07207207207207207,0.07976726726726727,0.02252252252252252,0.008258258258258258,0.010510510510510511,0.003003003003003003,0.026088588588588587,0.0007507507507507507,27,22,7,4,19,9,4,20,24,2,2,7,30,7,54,6,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ag_8.docx,english,4.182490372168986,0.08142544296237308,0.010352379056340831,0.04758112681664344,0.040215010949631695,0.10810272745371292,0.01751941071073064,0.014732231734023491,0.0346406529962174,0.08580529564005575,0.0009954210631096954,0.0033844316145729644,0.03882142146127812,0.029862631893290862,0.07266573760700776,0.08142544296237308,0.026677284491339836,0.00019908421262193908,0.06748954807883735,0.07824009556042205,0.06967947441767867,0.03264981086999801,0.02408918972725463,0.009954210631096954,0.0011945052757316346,0.01692215807286482,0.0013935894883535735,35,6,4,2,8,5,10,23,8,2,0,2,18,3,40,1,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ag_9.docx,english,4.1269325493166225,0.09041195771053591,0.011483776886620488,0.03609187021509296,0.03919066715275246,0.12012395187750638,0.01786365293474298,0.01804593510754648,0.04283631060882246,0.08512577469923442,0.002187386073641998,0.002005103900838498,0.04064892453518046,0.024425811155668976,0.07601166605905943,0.07090776522056143,0.02150929639081298,0.001093693036820999,0.06325191396281443,0.07236602260298942,0.0938753189938024,0.03062340503098797,0.011119212541013489,0.013124316441851986,0.002187386073641998,0.010390083849799489,0.0014582573824279985,39,4,1,1,5,6,1,31,14,6,0,1,39,2,111,1,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,AN_1.docx,english,4.164693511574256,0.08584961515689757,0.013420169725675942,0.04144464179988159,0.03907637655417407,0.123149792776791,0.030984803631340044,0.020722320899940794,0.04874679297414644,0.07775804223406355,0.0011841326228537595,0.005131241365699625,0.04124728636273929,0.024472074205644366,0.08604697059403986,0.06492993881981449,0.0205249654627985,0.0009867771857114663,0.07164002368265246,0.05308861259127689,0.08367870534833234,0.02664298401420959,0.006710084862837971,0.014801657785671996,0.002960331557134399,0.01144661535425301,0.0011841326228537595,42,1,1,4,0,12,2,30,12,9,0,1,45,2,109,4,17,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,AN_10.docx,english,4.145963845500692,0.08147818343722173,0.012243989314336599,0.03561887800534283,0.02827248441674087,0.1246660730186999,0.022039180765805876,0.021148708815672306,0.04652715939447907,0.0732413178984862,0.001558325912733749,0.002894033837934105,0.043187889581478185,0.019367764915405164,0.085040071237756,0.07390917186108638,0.024933214603739984,0.0,0.08125556544968833,0.05587711487088157,0.08793410507569012,0.030053428317008014,0.010017809439002672,0.016696349065004452,0.003116651825467498,0.015805877114870883,0.0004452359750667854,33,7,1,0,5,4,1,36,20,6,1,0,35,2,69,2,8,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
